,CUST_ID,CUST__NAME,SKU_ID,sku_name,POS_TYPE_focus,POS_Sec,POS_Ter,B01_supply,B02_supply,B03_supply,S01_supply,S02_supply,S03_supply,BLDG_ID,POS_ID,POS_Standard Industrial Classification,Owner_Established,POS_StateClass,SqFt_per1k,d_min,d_max,sectorid_0.0,sectorid_6.0,sectorid_7.0,sectorid_9.0,POS_Revenue_$10-20 MILLION,POS_Revenue_$2.5-5 MILLION,POS_Revenue_$5-10 MILLION,"POS_Revenue_LESS THAN $500,000",B01_inv,B02_inv,B03_inv,S01_inv,S02_inv,S03_inv
0,2001000,Banyan Foods,1001018,tofu,FOOD STORES,GENERAL STORES,SPECIALTY FOODS,0.0,0.0,0.0,0.0,675.4630414,0.0,513.0,70001188,YOGURT,2017,RESIDENTIAL,32.96812168,0.01,0.04,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,63.78280954982961,0.0
1,2001000,Banyan Foods,1001018,tofu,FOOD STORES,GENERAL STORES,SPECIALTY FOODS,0.0,0.0,0.0,0.0,675.4630414,0.0,400.0,70001189,WATER COMPANIES-BOTTLED/BULK & ETC,2016,COMMERCIAL,61.71693239,0.1285,0.24,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,51.06715282498518,0.0
2,2001000,Banyan Foods,1001018,tofu,FOOD STORES,GENERAL STORES,SPECIALTY FOODS,0.0,0.0,0.0,0.0,675.4630414,0.0,655.0,70001190,HERBS,1997,COMMERCIAL,17.28053198,0.1285,0.24,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,247.99130042240347,0.0
3,2001000,Banyan Foods,1001018,tofu,FOOD STORES,GENERAL STORES,SPECIALTY FOODS,0.0,0.0,0.0,0.0,675.4630414,0.0,1223.0,70001191,COFFEE & TEA,2015,COMMERCIAL,10.54927005,0.1285,0.24,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,227.23652713664387,0.0
4,2001000,Banyan Foods,1001019,soymilk,FOOD STORES,GENERAL STORES,SPECIALTY FOODS,0.0,0.0,0.0,0.0,545.5663027,0.0,513.0,70001188,YOGURT,2017,RESIDENTIAL,32.96812168,0.01,0.04,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,51.069631252300404,0.0
5,2001000,Banyan Foods,1001019,soymilk,FOOD STORES,GENERAL STORES,SPECIALTY FOODS,0.0,0.0,0.0,0.0,545.5663027,0.0,400.0,70001189,WATER COMPANIES-BOTTLED/BULK & ETC,2016,COMMERCIAL,61.71693239,0.1285,0.24,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,49.15961658462971,0.0
6,2001000,Banyan Foods,1001019,soymilk,FOOD STORES,GENERAL STORES,SPECIALTY FOODS,0.0,0.0,0.0,0.0,545.5663027,0.0,655.0,70001190,HERBS,1997,COMMERCIAL,17.28053198,0.1285,0.24,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,49.79722833605944,0.0
7,2001000,Banyan Foods,1001019,soymilk,FOOD STORES,GENERAL STORES,SPECIALTY FOODS,0.0,0.0,0.0,0.0,545.5663027,0.0,1223.0,70001191,COFFEE & TEA,2015,COMMERCIAL,10.54927005,0.1285,0.24,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,34.757099307447106,0.0
8,2001001,Houston Calco,1001021,edemame,WHOLESALERS,CATERERS,FOOD STORES,0.0,0.0,0.0,0.0,228.6182602,0.0,658.0,70005263,RICE-WHOLESALE,2013,COMMERCIAL,53.21815768,0.1285,0.24,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,34.89120120796026,0.0
9,2001001,Houston Calco,1001021,edemame,WHOLESALERS,CATERERS,FOOD STORES,0.0,0.0,0.0,0.0,228.6182602,0.0,322.0,70005264,TAMALES (WHLS),2016,COMMERCIAL,38.53630435,0.1285,0.24,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,31.50645947801408,0.0
